"[-0.35058890959872463, 0.17836516051587767]"
"[-0.07430507372505313, 0.9463460301807789]"
"[-0.2000256438466927, 1.0]"
"[-0.44951163506854536, 1.0]"
"[-0.26089173156928774, 1.0]"
"[-0.02376984495459486, 1.0]"
"[0.2169631535661884, 1.0]"
"[-0.06807185258606928, 1.0]"
"[-0.31980308575299754, 1.0]"
"[0.2093237177461171, 1.0]"
"[0.10021957747559829, 1.0]"
"[0.16496502561643042, 1.0]"
"[-0.08948941810363689, 1.0]"
"[0.30367120658689334, 1.0]"
"[-0.08452018508197327, 1.0]"
"[0.07121091659421493, 1.0]"
"[-0.1292612144297704, 1.0]"
"[-0.40127082815261633, 1.0]"
"[0.430807325869664, 1.0]"
"[0.40899421289636007, 1.0]"
"[-1.0, 1.0]"
"[-0.07833702544673496, 1.0]"
"[-0.2263615068032963, 1.0]"
"[-0.34044513806729804, 1.0]"
"[0.3094961861015084, 1.0]"
"[-0.11315163112909377, 1.0]"
"[-0.1734123468198676, 1.0]"
"[0.6412908051867541, 1.0]"
"[0.12918030366300692, 1.0]"
"[0.12378955922357648, 1.0]"
"[-1.0, 1.0]"
